price,rooms,lat,lng,square_total,square_living,square_kitchen,ceiling,renovation,view,type_house,floor_type,built_year,energy_efficiency,playground,sportsground,foundation_type,electrical_type,electrical_entries_count,heating_type,hot_water_type,gas_type,ventilation_type,firefighting_type,drainage_type,floor_flat,floor_house,price/m2,wikipedia
28000000.0,2,55.847786,37.636671,64.9,38.0,10.0,2.8,Евроремонт,Во двор,Монолитный,Железобетонные,2016.0,B+,Есть,Отсутствует,,Центральное,2.0,Центральное,Закрытая с приготовлением горячей воды на ЦТП,Отсутствует,Приточно-вытяжная вентиляция,Автоматическая,Внутренние водостоки,17.0,18.0,431432.97380585514,ru:Свиблово (район Москвы)
21000000.0,3,55.637393,37.600388,101.2,63.0,15.0,3.1,Без ремонта,Во двор,Монолитный,Железобетонные,2009.0,C,Есть,Есть,,Комбинированное,4.0,Центральное,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,Отсутствует,Приточно-вытяжная вентиляция,Автоматическая,Внутренние водостоки,35.0,41.0,207509.8814229249,ru:Чертаново Северное
14900000.0,3,55.617068,37.700541,65.1,45.1,9.2,2.48,Евроремонт,Во двор,Блочный,Железобетонные,1979.0,E,Отсутствует,Отсутствует,Свайный,Центральное,3.0,Центральное,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,Отсутствует,Вытяжная вентиляция,Пожарные гидранты,Внутренние водостоки,8.0,16.0,228878.64823348695,ru:Орехово-Борисово Северное
22600000.0,2,55.785422,37.479888,66.8,41.4,9.7,3.0,Евроремонт,На улицу и двор,Панельный,Железобетонные,2014.0,B,Есть,Есть,Свайный,Центральное,1.0,Центральное,Закрытая с приготовлением горячей воды на ЦТП,Отсутствует,Приточная вентиляция,Пожарные гидранты,Внутренние водостоки,21.0,24.0,338323.3532934132,ru:Хорошёво-Мнёвники
11500000.0,2,55.84399499999999,37.351958,50.3,30.3,8.3,,,Во двор,Панельный,Железобетонные,1998.0,Не присвоен,Есть,Есть,Свайный,Центральное,1.0,Центральное,Закрытая с приготовлением горячей воды на ЦТП,Отсутствует,Приточная вентиляция,Пожарные гидранты,Внутренние водостоки,6.0,17.0,228628.2306163022,ru:Митино (район Москвы)
74900000.0,3,55.77040600000001,37.604789,140.0,78.0,28.0,3.0,Дизайнерский,,Кирпичный,,,,,,,,,,,,,,,3.0,6.0,535000.0,ru:Тверской район (Москва)
16500000.0,2,55.684676,37.561257,57.0,34.0,9.0,3.0,Евроремонт,На улицу и двор,Кирпичный,Железобетонные,1957.0,C,Есть,Отсутствует,Ленточный,Центральное,1.0,Центральное,Закрытая с приготовлением горячей воды на ЦТП,Центральное,Вытяжная вентиляция,,Наружные водостоки,4.0,5.0,289473.6842105263,ru:Академический район (Москва)
32999999.0,1,55.75131,37.575828,55.0,32.0,6.0,3.0,Евроремонт,На улицу и двор,Кирпичный,,1939.0,D,Есть,Отсутствует,,Центральное,5.0,Центральное,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,Центральное,Приточная вентиляция,,,4.0,14.0,599999.9818181818,ru:Арбат (район Москвы)
11800000.0,1,55.826584,37.59365,38.0,18.0,9.0,2.8,Косметический,Во двор,Панельный,Железобетонные,2008.0,Не присвоен,Есть,Отсутствует,Бетонные столбы,Центральное,4.0,Центральное,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,Отсутствует,Приточно-вытяжная вентиляция,Автоматическая,Внутренние водостоки,6.0,17.0,310526.3157894737,ru:Марфино (район Москвы)
10300000.0,2,55.97151700000001,37.149829,60.5,34.5,10.5,2.64,Дизайнерский,На улицу и двор,Монолитный,Железобетонные,,,,,,,,,,,,,,3.0,12.0,170247.93388429753,ru:Крюково (район)
